EventId,EventName,EventType,WeekRange,DayRange,TimeSlot,LocationId,ParticipantNpcIds,RiskLevel,TriggerWeight,AiTextPolicy,HistoryRecordPolicy,Description
w5_xuqing_notices_clinic,许晴注意诊所异常,Daily,W5,Day29-35,Any,clinic,"xu_qing;jiang_xueyi",Medium,3,None,Summary,许晴开始注意到诊所中的异常细节
w6_town_meeting_temple,小镇会议讨论庙会,Anchor,W6,Day37,Noon,plaza,"town_representative;huiyuan;zhao_shouzheng;chen_haisheng",High,1000,None,Full,小镇召开会议讨论庙会是否继续举办，邪教势力开始公开施压
w6_chaoyin_yuanzhou_relation_turn,潮音远舟关系转折,Anchor,W6,Day39,Noon,beach,"lin_chaoyin;chen_yuanzhou",High,1000,DialogueAllowed,Full,林潮音与陈远舟的关系进入关键转折期
w6_chenhai_family_conflict,陈海生家庭冲突激化,Anchor,W6,Day41,Night,chen_home,"chen_haisheng;su_wan;chen_yuanzhou",High,1000,DialogueAllowed,Full,陈海生家庭冲突激化，家庭线进入高危状态
w6_temple_doubt_rises,庙会质疑上升,Anchor,W6,Day42,Noon,temple,"huiyuan;zhou_xingzhi;xu_mingchuan",High,1000,None,Full,庙会和寺庙公信力被进一步质疑
w6_gus_public_gathering,邪教公开集会,Key,W6,Day36-42,Night,plaza,"gu_chenzhou;chen_haisheng;ye_keke",High,5,None,Full,顾沉舟推动邪教影响从秘密聚会走向公开传播
w6_fire_tendency,陈海生纵火倾向,Key,W6,Day36-42,Any,seafood_shop,"chen_haisheng;su_wan",Fatal,5,None,Full,陈海生在压力下出现可能导致强硬不幸结局的纵火倾向
w7_gus_new_faith_announce,顾沉舟推动新信仰集会,Anchor,W7,Day43,Night,plaza,"gu_chenzhou;chen_haisheng;ye_keke",High,1000,None,Full,顾沉舟公开推动新信仰集会，对抗庙会和土地公信仰
w7_chaoyin_witch_identity_fixed,林潮音巫女身份定局,Anchor,W7,Day45,Noon,temple,"lin_chaoyin;huiyuan;lin_yueqin",High,1000,None,Full,林潮音最终确定自己的巫女身份选择
w7_xuming_evidence_chain,许明川证据链推进,Anchor,W7,Day47,Noon,police_station,"xu_mingchuan;zhou_xingzhi;zhao_shouzheng",High,1000,None,Full,许明川的证据链取得关键进展，可能锁定顾沉舟
w7_chenhai_critical_choice,陈海生做出关键选择,Anchor,W7,Day49,Afternoon,seafood_shop,"chen_haisheng;su_wan;chen_yuanzhou",High,1000,DialogueAllowed,Full,陈海生在家庭与信仰之间做出可能改变一切的关键选择
w7_huiyuan_exposed,慧圆腐败暴露,Key,W7,Day45-48,Daytime,temple,"huiyuan;zhou_xingzhi;zhao_shouzheng",High,5,None,Full,慧圆腐败问题暴露，旧信仰公信力受到冲击
w8_final_venue_decision,聚集地点决定,Anchor,W8,Day50,Noon,plaza,"town_representative;huiyuan;zhao_shouzheng",High,1000,None,Full,第60天前的聚集地点在山顶寺庙或广场之间被最终确定
w8_evidence_final_check,证据链最终确认,Anchor,W8,Day52,Noon,police_station,"xu_mingchuan;zhao_shouzheng;zhou_xingzhi",High,1000,None,Full,许明川的证据链进行最终确认，准备抓捕行动
w8_fire_risk_assessment,火灾风险评估,Anchor,W8,Day54,Morning,temple,"huiyuan;chen_haisheng",High,1000,None,Full,寺庙火灾风险被评估，这是强硬不幸结局的关键指标
w8_gus_jiang_identity_choice,顾沉舟江雪仪身份选择,Anchor,W8,Day56,Noon,wine_bar,"gu_chenzhou;jiang_xueyi",High,1000,None,Full,第60天前顾沉舟与江雪仪的身份暴露或隐藏状态被锁定
w8_port_final_preparation,港口最终准备,Daily,W8,Day50-56,Daytime,port,"he_laosan;chen_haisheng",Medium,3,None,Summary,港口在天灾前出现异常准备和离岛机会
w8_family_final_prep,家庭最后准备,Daily,W8,Day50-56,Night,various_homes,"chen_haisheng;su_wan;chen_yuanzhou;lin_chaoyin",Medium,3,DialogueAllowed,Summary,相关家庭在天灾前做出最后准备
final_day_approaches_temple,庙会聚集,Anchor,Final,Day60,Morning,temple,all_npc,High,1000,None,Full,第60天早晨，全体NPC聚集到预定的最终地点
final_earthquake_hits,地震海啸发生,Anchor,Final,Day60,Noon,town_wide,all_npc,Fatal,1000,None,Full,第60天中午，地震或海啸发生，小镇遭遇重大天灾
final_aftermath_settles,灾难后局势,Anchor,Final,Day60,Afternoon,gathering_site,all_npc,High,1000,None,Full,第60天下午，灾后聚集地点和NPC状态被最终呈现
final_ai_ending_dialogue,AI后日谈生成,Anchor,Final,Day60,Night,various_homes,all_npc,High,1000,DialogueAllowed,Full,AI根据NPC最终状态和玩家干预风格生成可控后日谈
